comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
ALUMBRA;6.1TD;CORINDON;CONS. 30.000 - 40.000 KW;;;925,00 €;786,25 €;740,00 €;666,00 €;74,00 €;592,00 €;148,00 €;370,00 €;370,00 €
ALUMBRA;6.1TD;CORINDON;CONS. 40.000 - 50.000 KW;;;1.107,00 €;940,95 €;885,60 €;797,04 €;88,56 €;708,48 €;177,12 €;442,80 €;442,80 €
ALUMBRA;6.1TD;CORINDON;CONS. 50.000 - 70.000 KW;;;1.711,00 €;1.454,35 €;1.368,80 €;1.231,92 €;136,88 €;1.095,04 €;273,76 €;684,40 €;684,40 €
ALUMBRA;6.1TD;CORINDON;CONS. 70.000 - 100.000 KW;;;2.062,00 €;1.752,70 €;1.649,60 €;1.484,64 €;164,96 €;1.319,68 €;329,92 €;824,80 €;824,80 €
ALUMBRA;6.1TD;CORINDON;CONS. 100.000 - 150.000 KW;;;2.982,00 €;2.534,70 €;2.385,60 €;2.147,04 €;238,56 €;1.908,48 €;477,12 €;1.192,80 €;1.192,80 €
ALUMBRA;6.1TD;CORINDON;CONS. 150.000 - 200.000 KW;;;3.184,00 €;2.706,40 €;2.547,20 €;2.292,48 €;254,72 €;2.037,76 €;509,44 €;1.273,60 €;1.273,60 €
ALUMBRA;6.1TD;CORINDON;CONS. 200.000 - 300.000 KW;;;4.864,00 €;4.134,40 €;3.891,20 €;3.502,08 €;389,12 €;3.112,96 €;778,24 €;1.945,60 €;1.945,60 €
ALUMBRA;6.1TD;CORINDON;CONS. 300.000 - 400.000 KW;;;7.996,00 €;6.796,60 €;6.396,80 €;5.757,12 €;639,68 €;5.117,44 €;1.279,36 €;3.198,40 €;3.198,40 €
ALUMBRA;6.1TD;CORINDON;CONS. 400.000 - 500.000 KW;;;9.103,00 €;7.737,55 €;7.282,40 €;6.554,16 €;728,24 €;5.825,92 €;1.456,48 €;3.641,20 €;3.641,20 €
ALUMBRA;6.1TD;CORINDON;CONS. 500.000 - 700.000 KW;;;1.321,00 €;1.122,85 €;1.056,80 €;951,12 €;105,68 €;845,44 €;211,36 €;528,40 €;528,40 €
ALUMBRA;6.1TD;CORINDON;CONS. 700.000 - 1.200.000 KW;;;16.756,00 €;14.242,60 €;13.404,80 €;12.064,32 €;1.340,48 €;10.723,84 €;2.680,96 €;6.702,40 €;6.702,40 €
ALUMBRA;6.1TD;CORINDON;CONS. 1.200.000 - 2.500.000 KW;;;18.286,00 €;15.543,10 €;14.628,80 €;13.165,92 €;1.462,88 €;11.703,04 €;2.925,76 €;7.314,40 €;7.314,40 €
ALUMBRA;6.1TD;CORINDON;CONS. > 2.500.000 KW;;;2.211,00 €;1.879,35 €;1.768,80 €;1.591,92 €;176,88 €;1.415,04 €;353,76 €;884,40 €;884,40 €
ALUMBRA;2.0TD;TOPACIO;CONS. 0 - 5.000 KW;;;120,00 €;102,00 €;96,00 €;86,40 €;9,60 €;76,80 €;19,20 €;48,00 €;48,00 €
ALUMBRA;2.0TD;TOPACIO;CONS. 5.000 - 10.000 KW;;;240,00 €;204,00 €;192,00 €;172,80 €;19,20 €;153,60 €;38,40 €;96,00 €;96,00 €
ALUMBRA;2.0TD;TOPACIO;CONS. 10.000 - 20.000 KW;;;384,00 €;326,40 €;307,20 €;276,48 €;30,72 €;245,76 €;61,44 €;153,60 €;153,60 €
ALUMBRA;2.0TD;TOPACIO;CONS. 20.000 - 30.000 KW;;;587,00 €;498,95 €;469,60 €;422,64 €;46,96 €;375,68 €;93,92 €;234,80 €;234,80 €
