comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 300.001 - 500.000 KW;;;2.164,00 €;1.839,40 €;1.731,20 €;1.558,08 €;173,12 €;1.384,96 €;346,24 €;865,60 €;865,60 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 500.001 - 750.000 KW;;;3.396,00 €;2.886,60 €;2.716,80 €;2.445,12 €;271,68 €;2.173,44 €;543,36 €;1.358,40 €;1.358,40 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 750.001 - 1.000.000 KW;;;5.076,00 €;4.314,60 €;4.060,80 €;3.654,72 €;406,08 €;3.248,64 €;812,16 €;2.030,40 €;2.030,40 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 0 - 3.000 KW;;;282,00 €;239,70 €;225,60 €;203,04 €;22,56 €;180,48 €;45,12 €;112,80 €;112,80 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 3.001 - 5.000 KW;;;313,00 €;266,05 €;250,40 €;225,36 €;25,04 €;200,32 €;50,08 €;125,20 €;125,20 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 5.001 - 10.000 KW;;;406,00 €;345,10 €;324,80 €;292,32 €;32,48 €;259,84 €;64,96 €;162,40 €;162,40 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 10.001 - 20.000 KW;;;420,00 €;357,00 €;336,00 €;302,40 €;33,60 €;268,80 €;67,20 €;168,00 €;168,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 20.001 - 30.000 KW;;;550,00 €;467,50 €;440,00 €;396,00 €;44,00 €;352,00 €;88,00 €;220,00 €;220,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 30.001 - 40.000 KW;;;632,00 €;537,20 €;505,60 €;455,04 €;50,56 €;404,48 €;101,12 €;252,80 €;252,80 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 40.001 - 50.000 KW;;;775,00 €;658,75 €;620,00 €;558,00 €;62,00 €;496,00 €;124,00 €;310,00 €;310,00 €
