comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 500.000 - 700.000 kW;;;2.530,00 €;2.150,50 €;2.024,00 €;1.821,60 €;202,40 €;1.619,20 €;404,80 €;1.012,00 €;1.012,00 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 700.000 - 1.200.000 kW;;;2.875,00 €;2.443,75 €;2.300,00 €;2.070,00 €;230,00 €;1.840,00 €;460,00 €;1.150,00 €;1.150,00 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. > 1.200.000 kW;;;3.450,00 €;2.932,50 €;2.760,00 €;2.484,00 €;276,00 €;2.208,00 €;552,00 €;1.380,00 €;1.380,00 €
PLENITUDE;3.0TD;FACIL PRIME;Cons. 0 - 10.000 kW;;;173,00 €;147,05 €;138,40 €;124,56 €;13,84 €;110,72 €;27,68 €;69,20 €;69,20 €
PLENITUDE;3.0TD;FACIL PRIME;Cons. 10.000 - 20.000 kW;;;196,00 €;166,60 €;156,80 €;141,12 €;15,68 €;125,44 €;31,36 €;78,40 €;78,40 €
PLENITUDE;3.0TD;FACIL PRIME;Cons. 20.000 - 30.000 kW;;;253,00 €;215,05 €;202,40 €;182,16 €;20,24 €;161,92 €;40,48 €;101,20 €;101,20 €
PLENITUDE;3.0TD;FACIL PRIME;Cons. 30.000 - 40.000 kW;;;345,00 €;293,25 €;276,00 €;248,40 €;27,60 €;220,80 €;55,20 €;138,00 €;138,00 €
PLENITUDE;3.0TD;FACIL PRIME;Cons. 40.000 - 50.000 kW;;;403,00 €;342,55 €;322,40 €;290,16 €;32,24 €;257,92 €;64,48 €;161,20 €;161,20 €
PLENITUDE;3.0TD;FACIL PRIME;Cons. 50.000 - 70.000 kW;;;518,00 €;440,30 €;414,40 €;372,96 €;41,44 €;331,52 €;82,88 €;207,20 €;207,20 €
PLENITUDE;3.0TD;FACIL PRIME;Cons. 70.000 - 100.000 kW;;;805,00 €;684,25 €;644,00 €;579,60 €;64,40 €;515,20 €;128,80 €;322,00 €;322,00 €
PLENITUDE;3.0TD;FACIL PRIME;Cons. 100.000 - 150.000kW;;;920,00 €;782,00 €;736,00 €;662,40 €;73,60 €;588,80 €;147,20 €;368,00 €;368,00 €
PLENITUDE;3.0TD;FACIL PRIME;Cons. 150.000 - 200.000 kW;;;1.150,00 €;977,50 €;920,00 €;828,00 €;92,00 €;736,00 €;184,00 €;460,00 €;460,00 €
PLENITUDE;3.0TD;FACIL PRIME;Cons. 200.000 - 300.000 kW;;;1.610,00 €;1.368,50 €;1.288,00 €;1.159,20 €;128,80 €;1.030,40 €;257,60 €;644,00 €;644,00 €
PLENITUDE;3.0TD;FACIL PRIME;Cons. 300.000 - 400.000 kW;;;2.300,00 €;1.955,00 €;1.840,00 €;1.656,00 €;184,00 €;1.472,00 €;368,00 €;920,00 €;920,00 €
PLENITUDE;3.0TD;FACIL PRIME;Cons. 400.000 - 500.000 kW;;;2.875,00 €;2.443,75 €;2.300,00 €;2.070,00 €;230,00 €;1.840,00 €;460,00 €;1.150,00 €;1.150,00 €
PLENITUDE;3.0TD;FACIL PRIME;Cons. 500.000 - 700.000 kW;;;3.450,00 €;2.932,50 €;2.760,00 €;2.484,00 €;276,00 €;2.208,00 €;552,00 €;1.380,00 €;1.380,00 €
